Company,Title,Salary,ID,URL
WEBSOSANH,"Machine Learning Engineer (Java, Python)",Up to 30m vnd,1493,https://itviec.com/it-jobs/machine-learning-engineer-java-python-websosanh-1957
Septeni Technology,DevOps Engineer wanted - up to 1000$,"800 - 1,000 USD",1492,https://itviec.com/it-jobs/devops-engineer-wanted-up-to-1000-septeni-technology-0029
Bee Tech,"3 Back-end Dev (Python, Golang, NodeJS)",Up to $1200,1490,https://itviec.com/it-jobs/3-back-end-dev-python-golang-nodejs-bee-tech-0136
Trusting Social,"Data Scientists (Python, SQL)",$3.000 - $10.000,1488,https://itviec.com/it-jobs/data-scientists-python-sql-trusting-social-4502
Trusting Social,10 Back-end Engineers (Java/Python/Ruby),$2000 - $4000,1489,https://itviec.com/it-jobs/10-back-end-engineers-java-python-ruby-trusting-social-3550
Công ty TNHH Đầu tư Thương mại và Dịch vụ Trí Tâm,Lập Trình Viên Python (odoo),"1 - 5 - , - 0 - 0 - 0 - , - 0 - 0 - 0 - | - 2 - 0 - , - 0 - 0 - 0 - , - 0 - 0 - 0 -   - V - N - D",1491,https://mywork.com.vn/tuyen-dung/viec-lam/1108316/lap-trinh-vien-python-(odoo).html
ZALORA Group,Data Engineer/Data Scientist (Python/R),Thương lượng,1487,https://itviec.com/it-jobs/data-engineer-data-scientist-python-r-zalora-group-2039
Topica Edtech Group,"Full-Stack Developer (PHP, .NET, Python)","600 - 1,000 USD",1485,https://itviec.com/it-jobs/full-stack-developer-php-net-python-topica-edtech-group-5806
Bridgetek Viet Nam,"Software Engineer (Java/C++, Python)",Thương lượng,1486,https://itviec.com/it-jobs/software-engineer-java-c-python-bridgetek-viet-nam-5610
LARION,"Python Team Lead (up to $2,200)","1,800 - 2,200 USD",1484,https://itviec.com/it-jobs/python-team-lead-up-to-2-200-larion-5636
YouthDev,Odoo Python Business Analyst,Upto 1400$,1483,https://itviec.com/it-jobs/odoo-python-business-analyst-youthdev-1926
Creatory,"FullStack Developer (JavaScript, Python)",Thương lượng,1482,https://itviec.com/it-jobs/fullstack-developer-javascript-python-creatory-0050
Persol Process & Technology Việt Nam,Senior Python Developer (Django),"800 - 1,500 USD",1481,https://itviec.com/it-jobs/senior-python-developer-django-persol-process-technology-viet-nam-2444
